stratification_filename	stratification_type	md5_checksum
GRCh37_notinrefseq_union_cds.bed.gz	FunctionalRegions	752ab990845e7cd3a4c1d0b3a06c29c9
GRCh37_refseq_cds.bed.gz	FunctionalRegions	ddfa7ab300559ff03e444f62cff0f0d8
GRCh37_BadPromoters.gz	FunctionalTechnicallyDifficultRegions	ae36a3873ddfdc2dece038707bfa0176
GRCh37_gc15_slop50.bed.gz	GCcontent	2af8802225ca5daf740fe00e9b0f57eb
GRCh37_gc15to20_slop50.bed.gz	GCcontent	87ee652ac75b7b04842798e69c398fd3
GRCh37_gc20to25_slop50.bed.gz	GCcontent	7e1a03bb15d8b62ae0fada6429226e0b
GRCh37_gc25to30_slop50.bed.gz	GCcontent	56b254b1121eff88c1a80b853e3ad363
GRCh37_gc30to55_slop50.bed.gz	GCcontent	68b1061979e8e00a8c5667332b96e953
GRCh37_gc55to60_slop50.bed.gz	GCcontent	80ca5edc44b08426ef01da79c16111f7
GRCh37_gc60to65_slop50.bed.gz	GCcontent	97224e78056fc862ab309b7030a03c65
GRCh37_gc65to70_slop50.bed.gz	GCcontent	29e7a6473fb4c393dd4acee6f2287a09
GRCh37_gc70to75_slop50.bed.gz	GCcontent	421fef1104933df1c7c602e51ddcdc6d
GRCh37_gc75to80_slop50.bed.gz	GCcontent	c64de93af3695ed102ac0d0400afb2d2
GRCh37_gc80to85_slop50.bed.gz	GCcontent	bb43c186e17955288be438a3640ad68f
GRCh37_gc85_slop50.bed.gz	GCcontent	f39d5870d5f6fa56efa95524c8e98a6d
GRCh37_gclt25orgt65_slop50.bed.gz	GCcontent	8be64ae76451ce45deeff5a87f14deee
GRCh37_gclt30orgt55_slop50.bed.gz	GCcontent	48353edc7d87f32f867af2916892541c
GRCh37_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz	GenomeSpecific	1b469968053d1b3497d88271416f0b5d
GRCh37_HG001_GIABv3.2.2_varswithin50bp.bed.gz	GenomeSpecific	7639737223862db161eb7167c0042129
GRCh37_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	279d9af19f350e1dd9098675b5eb5436
GRCh37_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	b86cc40d6229ca14c7233ea89524179d
GRCh37_HG001_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	2c7642c21d9d83e9a895588403a3c493
GRCh37_HG001_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	5b2e5dd9121d5e9e61c843f64169d940
GRCh37_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz	GenomeSpecific	0972703e987a2970c3ba9fd6a54360df
GRCh37_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz	GenomeSpecific	36ab46964046e5339d93925deeaf11c4
GRCh37_HG001_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	2127a3e32f3820bd517feac127a9ea62
GRCh37_HG001_PacBio_MetaSV.bed.gz	GenomeSpecific	c2bed7a8c079ced2015d0ae1f88b0982
GRCh37_HG001_PG2016-1.0_comphetindel10bp_slop50.bed.gz	GenomeSpecific	9e9027e74d79aae0d5e9fae762577d58
GRCh37_HG001_PG2016-1.0_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	5b60be6ff5572658b4b2c28f953d9d6b
GRCh37_HG001_PG2016-1.0_complexindel10bp_slop50.bed.gz	GenomeSpecific	52d6e30b54cf5ab10f4653908de09c4a
GRCh37_HG001_PG2016-1.0_snpswithin10bp_slop50.bed.gz	GenomeSpecific	dbdd3488dbaf93605b98120c4f0a1240
GRCh37_HG001_RTG_37.7.3_comphetindel10bp_slop50.bed.gz	GenomeSpecific	a460c37e9fd38a0101ff79176812b843
GRCh37_HG001_RTG_37.7.3_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	a90bb7bda6697f8edb6906d6dd926dd2
GRCh37_HG001_RTG_37.7.3_complexindel10bp_slop50.bed.gz	GenomeSpecific	6bd2cbb8a2660cc90562823dd9826aae
GRCh37_HG001_RTG_37.7.3_snpswithin10bp_slop50.bed.gz	GenomeSpecific	4420589e747ea6d50043800177d8df5c
GRCh37_HG002_GIABv4.1_CNV_CCSandONT_elliptical_outlier.bed.gz	GenomeSpecific	c003dfe1995196707ea14b63461f8811
GRCh37_HG002_GIABv4.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	GenomeSpecific	dc6820d08ddc72bc74ae7f06d2069bf9
GRCh37_HG002_expanded_150_Tier1plusTier2_v0.6.1.bed.gz	GenomeSpecific	9e70798b2e2a770fa45fe260e8d5a86e
GRCh37_HG002_GIABv3.2.2_compoundhet_slop50.bed.gz	GenomeSpecific	a61de282bec54e4bf6588c060708e62a
GRCh37_HG002_GIABv3.2.2_varswithin50bp.bed.gz	GenomeSpecific	a9e2c86ae9d649a5c1eca3781e7cf594
GRCh37_HG002_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	aaadcce461a9ad872e0773e405692594
GRCh37_HG002_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	308e028efe066d2abd5cb79a815454d9
GRCh37_HG002_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	a387cbe13c35c9f139a30d8f58467db0
GRCh37_HG002_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	3278c1ee8fcac834e36214816ccb042c
GRCh37_HG002_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	0dd8c5d4a13411147672034ae94cc4ee
GRCh37_HG002_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	101cd2dab8df0ce15eafe97351dbe7ca
GRCh37_HG002_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	d71083c6aab9d44706540a0a7bb5f29e
GRCh37_HG002_GIABv4.1_CNVsandSVs.bed.gz	GenomeSpecific	91b9ef16346f7ca7a63b6ad38f5cba57
GRCh37_HG002_GIABv4.1_comphetindel10bp_slop50..bed.gz	GenomeSpecific	7d5468e9a6c7fd7b73d011f3c7b7c1a7
GRCh37_HG002_GIABv4.1_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	10969398f759814b249ce580eec82384
GRCh37_HG002_GIABv4.1_complexandSVs.bed.gz	GenomeSpecific	1e6974420442a7f1fea50f07f0141cea
GRCh37_HG002_GIABv4.1_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	4d59751a9d3dcdd7bcefa4c924afbf3b
GRCh37_HG002_GIABv4.1_complexindel10bp_slop50.bed.gz	GenomeSpecific	c552ad07579b84fb4ea06563ed02e886
GRCh37_HG002_GIABv4.1_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	1e2cdd8e51fb8a1b3f4cb4be9a6004fc
